Pos,Name,GP,Team,Stat,Statname,League,ABBR,CREST
7,Shaqiri,31,Stoke City,67,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/a/a3/Stoke_City.svg
8,Sánchez,27,Manchester United,65,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg
9,Alli,31,Tottenham Hotspur,62,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
10,Townsend,31,Crystal Palace,59,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/bf/Crystal_Palace_F.C._logo_(2013).png
1,Lewandowski,26,FC Bayern München,26,Goals,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
2,Aubameyang,16,Borussia Dortmund,13,Goals,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
3,Petersen,27,Sport-Club Freiburg,13,Goals,Bundesliga,FCB,Noneee
4,Uth,27,TSG 1899 Hoffenheim,12,Goals,Bundesliga,FCB,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg
5,Finnbogason,18,FC Augsburg,11,Goals,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
6,Kalou,26,Hertha BSC,11,Goals,Bundesliga,FCB,https://upload.wikimedia.org/wikipedia/commons/8/81/Hertha_BSC_Logo_2012.svg
7,Werner,27,RB Leipzig,11,Goals,Bundesliga,FCB,Noneee
8,Volland,27,Bayer 04 Leverkusen,11,Goals,Bundesliga,FCB,Noneee
9,Gregoritsch,28,FC Augsburg,11,Goals,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
10,Füllkrug,29,Hannover 96,11,Goals,Bundesliga,FCB,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg
1,Max,29,FC Augsburg,12,Assists,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
2,Rodríguez,19,FC Bayern München,10,Assists,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
3,Kimmich,25,FC Bayern München,10,Assists,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
4,Müller,25,FC Bayern München,9,Assists,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
5,Wolf,24,Eintracht Frankfurt,7,Assists,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg
6,Kruse,24,SV Werder Bremen,6,Assists,Bundesliga,FCB,Noneee
7,Havertz,25,Bayer 04 Leverkusen,6,Assists,Bundesliga,FCB,Noneee
8,Bailey,25,Bayer 04 Leverkusen,6,Assists,Bundesliga,FCB,Noneee
9,Uth,27,TSG 1899 Hoffenheim,6,Assists,Bundesliga,FCB,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg
10,Caligiuri,28,FC Schalke 04,6,Assists,Bundesliga,FCB,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg
1,Max,29,FC Augsburg,75,Ch. Created,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
2,Hazard,29,Borussia Mönchengladbach,60,Ch. Created,Bundesliga,FCB,Noneee
3,Oczipka,26,FC Schalke 04,52,Ch. Created,Bundesliga,FCB,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg
4,Brandt,29,Bayer 04 Leverkusen,52,Ch. Created,Bundesliga,FCB,Noneee
5,Rodríguez,19,FC Bayern München,49,Ch. Created,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
6,Kruse,24,SV Werder Bremen,49,Ch. Created,Bundesliga,FCB,Noneee
7,Müller,25,FC Bayern München,49,Ch. Created,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
8,Kimmich,25,FC Bayern München,49,Ch. Created,Bundesliga,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
9,Stindl,29,Borussia Mönchengladbach,48,Ch. Created,Bundesliga,FCB,Noneee
10,Kampl,23,RB Leipzig,47,Ch. Created,Bundesliga,FCB,Noneee
